Good,Positive
Nice,Positive
Good Job,Positive
bad,Negative
good,Positive
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
good,Positive
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
bad,Negative
very good movie,Positive
very bad movie,Negative
ghatiya movie thi ekdm,Positive
